"columnname","minval","maxval","avgval","quartile1","quartile2","quartile3","interquartilerange"
"visitnumber","1","395","2.32","1","1","2","1"
"visitstarttime","1493622000","1501657190","1497706467.43","1495595774","1497679954","1499826370","4230596"
"units_sold","-89","4324","4.36","1","1","2","1"
"pageviews","1","186","14.83","4","9","19","15"
"timeonsite","1","11316","703.91","129","371","915","786"
"bounces","1","1","1.00","1","1","1","0"
"revenue","1123333","6252750000","76006410.81","12420555.5","23120000","120500000","108079444.5"
"unit_price","790000","995000000","32440420.46","8990000","18990000","29990000","21000000"
