"column_name","total_num_of_rows","num_of_null_val","num_of_distinct_val"
"stocklevel","1092","0","262"
"sentimentscore","1092","1","17"
"sentimentmagnitude","1092","1","20"
"orderedquantity","1092","0","224"
"restockingleadtime","1092","0","27"
"name","1092","0","313"
"sku","1092","0","1092"
