"column_name","total_num_of_rows","num_of_null_val","num_of_distinct_val"
"ratio","454","78","243"
"total_ordered","454","0","60"
"sentimentscore","454","0","16"
"sentimentmagnitude","454","0","20"
"stocklevel","454","0","219"
"restockingleadtime","454","0","26"
"name","454","0","237"
"productsku","454","0","454"
